Experiment	bias spectroscopy	
Date	24.03.2019 01:28:40	
User		
X (m)	182.881E-9	
Y (m)	184.967E-9	
Z (m)	-103.416E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	1	
Cutoff frq		
Bias>Bias (V)	1.5E+0	
Bias>Calibration (V/V)	-1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	1.5E+0	
Bias Spectroscopy>Sweep End (V)	-1.5E+0	
Bias Spectroscopy>Num Pixel	200	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	200E-3	
Bias Spectroscopy>Settling time (s)	10E-3	
Bias Spectroscopy>Integration time (s)	20E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	10E-3	
Bias Spectroscopy>Max Slew rate (V/s)	4E+0	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	5	
Bias Spectroscopy>Channels	Current (A);Bias (V);LIX 1 omega (A);LIY 1 omega (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	-1E+0,1E+0,83.3333E-6,83.3333E-6,256	
Current>Current (A)	475.203E-12	
Current>Calibration (A/V)	5E-9	
Current>Offset (A)	3.65932E-12	
Current>Gain	Low	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	700E+0	
Lock-in>Amplitude	10E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>Harmonic	2	
Lock-in>Reference phase (deg)	153.565E+0	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	LIX 1 omega (A)	LIY 1 omega (A)	Current [bwd] (A)	Bias [bwd] (V)	LIX 1 omega [bwd] (A)	LIY 1 omega [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	LIX 1 omega (A) [filt]	LIY 1 omega (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	LIX 1 omega (A) [bwd] [filt]	LIY 1 omega (A) [bwd] [filt]
987.437E-3	91.6347E-12	987.437E-3	5.30508E-12	2.72051E-12	77.2646E-12	987.437E-3	5.11500E-12	2.34870E-12	91.2295E-12	987.437E-3	5.17975E-12	2.70030E-12	77.6009E-12	987.437E-3	5.09485E-12	2.44384E-12
972.362E-3	85.9105E-12	972.362E-3	4.94956E-12	2.62456E-12	73.6158E-12	972.362E-3	5.13784E-12	2.33513E-12	86.2023E-12	972.362E-3	5.05680E-12	2.69589E-12	73.3975E-12	972.362E-3	5.11121E-12	2.30944E-12
957.286E-3	81.5634E-12	957.286E-3	5.10001E-12	2.86513E-12	68.9373E-12	957.286E-3	5.03505E-12	2.20036E-12	81.2278E-12	957.286E-3	5.07358E-12	2.72322E-12	69.3605E-12	957.286E-3	5.04293E-12	2.21886E-12
942.211E-3	75.6330E-12	942.211E-3	5.12577E-12	2.43611E-12	66.2555E-12	942.211E-3	4.96944E-12	2.15289E-12	76.2002E-12	942.211E-3	5.08006E-12	2.53719E-12	65.8745E-12	942.211E-3	4.98102E-12	2.13979E-12
927.136E-3	72.3786E-12	927.136E-3	4.93588E-12	2.48404E-12	61.7760E-12	927.136E-3	4.95845E-12	2.04362E-12	72.2090E-12	927.136E-3	5.00307E-12	2.43478E-12	62.1324E-12	927.136E-3	4.97749E-12	2.10815E-12
912.060E-3	68.3237E-12	912.060E-3	5.06305E-12	2.29957E-12	58.9782E-12	912.060E-3	5.03732E-12	2.23883E-12	68.2108E-12	912.060E-3	5.03155E-12	2.34335E-12	58.7547E-12	912.060E-3	4.98248E-12	2.14089E-12
896.985E-3	63.7362E-12	896.985E-3	5.04163E-12	2.32168E-12	55.1258E-12	896.985E-3	4.85747E-12	1.97192E-12	63.7209E-12	896.985E-3	5.07719E-12	2.23285E-12	55.0471E-12	896.985E-3	4.90939E-12	1.98813E-12
881.910E-3	59.0764E-12	881.910E-3	5.18801E-12	1.92466E-12	50.9020E-12	881.910E-3	4.92260E-12	1.78148E-12	59.3017E-12	881.910E-3	5.11348E-12	1.98715E-12	51.0064E-12	881.910E-3	4.93595E-12	1.86479E-12
866.834E-3	55.4793E-12	866.834E-3	4.98274E-12	1.82249E-12	47.1707E-12	866.834E-3	5.05073E-12	1.98413E-12	55.4144E-12	866.834E-3	5.02182E-12	1.86091E-12	47.2103E-12	866.834E-3	4.97622E-12	1.83980E-12
851.759E-3	51.5761E-12	851.759E-3	4.96189E-12	1.90161E-12	43.6263E-12	851.759E-3	4.82729E-12	1.50578E-12	51.8363E-12	851.759E-3	4.96810E-12	1.87029E-12	43.6649E-12	851.759E-3	4.91609E-12	1.60670E-12
